basis,p,distance,rounds,shots,failures_any,logical_error_rate_any,failures_obs0,logical_error_rate_obs0,failures_obs1,logical_error_rate_obs1,num_qubits,num_detectors,num_measurements,num_observables
X,0.007,15,15,100000,2241,0.02241,1206,0.01206,1246,0.01246,900,6525,7200,2
X,0.008,3,3,100000,9001,0.09001,4978,0.04978,5146,0.05146,36,45,72,2
X,0.008,5,5,100000,8578,0.08578,4631,0.04631,5037,0.05037,100,225,300,2
X,0.008,7,7,100000,7997,0.07997,4293,0.04293,4709,0.04709,196,637,784,2
X,0.008,9,9,100000,8239,0.08239,4452,0.04452,4840,0.0484,324,1377,1620,2
X,0.008,11,11,100000,7925,0.07925,4290,0.0429,4665,0.04665,484,2541,2904,2
X,0.008,13,13,100000,7966,0.07966,4262,0.04262,4729,0.04729,676,4225,4732,2
X,0.008,15,15,100000,8120,0.0812,4459,0.04459,4806,0.04806,900,6525,7200,2
X,0.009,3,3,100000,11085,0.11085,6194,0.06194,6352,0.06352,36,45,72,2
X,0.009,5,5,100000,12287,0.12287,6907,0.06907,7131,0.07131,100,225,300,2
X,0.009,7,7,100000,13286,0.13286,7385,0.07385,7886,0.07886,196,637,784,2
X,0.009,9,9,100000,14648,0.14648,8098,0.08098,8815,0.08815,324,1377,1620,2
X,0.009,11,11,100000,16406,0.16406,9292,0.09292,9810,0.0981,484,2541,2904,2
X,0.009,13,13,100000,18540,0.1854,10765,0.10765,11019,0.11019,676,4225,4732,2
X,0.009,15,15,100000,20955,0.20955,12109,0.12109,12621,0.12621,900,6525,7200,2
X,0.01,3,3,100000,13556,0.13556,7646,0.07646,7890,0.0789,36,45,72,2
X,0.01,5,5,100000,16533,0.16533,9220,0.0922,9851,0.09851,100,225,300,2
X,0.01,7,7,100000,19805,0.19805,11255,0.11255,11966,0.11966,196,637,784,2
X,0.01,9,9,100000,23686,0.23686,13688,0.13688,14391,0.14391,324,1377,1620,2
